Airline,Origin,mean
Allegiant Air,VPS,13.373751783166904
Allegiant Air,XNA,8.80887372013652
Allegiant Air,YNG,38.5
American Airlines Inc.,ABQ,14.39655172413793
American Airlines Inc.,ALB,13.74757281553398
American Airlines Inc.,ANC,16.36
American Airlines Inc.,ATL,19.19850263051396
American Airlines Inc.,AUS,14.98619957537155
American Airlines Inc.,BDL,15.006190476190476
American Airlines Inc.,BNA,17.396487673083417
American Airlines Inc.,BOI,16.195505617977528
American Airlines Inc.,BOS,21.155231485548626
American Airlines Inc.,BTV,18.987915407854985
American Airlines Inc.,BUF,14.386574074074074
American Airlines Inc.,BWI,16.69039595619208
American Airlines Inc.,BZN,17.965811965811966
American Airlines Inc.,CAE,13.307692307692308
American Airlines Inc.,CHS,16.852744310575638
American Airlines Inc.,CLE,16.15371329879102
American Airlines Inc.,CLT,18.76190830419797
American Airlines Inc.,CMH,16.028061224489797
American Airlines Inc.,COS,19.098662207357858
American Airlines Inc.,CVG,17.74418604651163
American Airlines Inc.,DCA,20.93302197218979
American Airlines Inc.,DEN,18.04955709839598
American Airlines Inc.,DFW,18.33099991504545
American Airlines Inc.,DSM,14.013313609467456
American Airlines Inc.,DTW,18.63312274368231
American Airlines Inc.,EGE,18.63684210526316
American Airlines Inc.,ELP,15.844615384615384
American Airlines Inc.,EWR,22.083672086720867
American Airlines Inc.,FAT,13.893203883495145
American Airlines Inc.,FLL,16.242979242979242
American Airlines Inc.,GEG,18.350877192982455
American Airlines Inc.,GRR,16.906451612903226
American Airlines Inc.,GSO,18.53488372093023
American Airlines Inc.,GSP,14.717171717171718
American Airlines Inc.,GUC,18.416666666666668
American Airlines Inc.,HDN,24.26923076923077
American Airlines Inc.,HNL,18.8084388185654
American Airlines Inc.,IAD,20.59349593495935
American Airlines Inc.,IAH,18.414054054054056
American Airlines Inc.,ICT,15.776357827476039
American Airlines Inc.,ILM,16.92633517495396
American Airlines Inc.,IND,16.522334723049433
American Airlines Inc.,JAC,20.09502262443439
American Airlines Inc.,JAX,14.328921244209132
American Airlines Inc.,JFK,25.63100026816841
American Airlines Inc.,KOA,13.374269005847953
American Airlines Inc.,LAS,17.380035026269702
American Airlines Inc.,LAX,19.34909259045197
American Airlines Inc.,LBB,25.865853658536587
American Airlines Inc.,LGA,25.195470932852636
American Airlines Inc.,LIH,13.592342342342342
American Airlines Inc.,LIT,16.285714285714285
American Airlines Inc.,MCI,14.663019693654267
American Airlines Inc.,MCO,16.743770764119603
American Airlines Inc.,MDT,15.76173285198556
American Airlines Inc.,MEM,17.438194444444445
American Airlines Inc.,MFE,17.2
American Airlines Inc.,MHT,17.164739884393065
American Airlines Inc.,MIA,18.88152408339324
American Airlines Inc.,MKE,13.880450070323487
American Airlines Inc.,MLB,15.171875
American Airlines Inc.,MSP,19.8212708120965
American Airlines Inc.,MSY,14.432124352331606
American Airlines Inc.,MTJ,22.866666666666667
American Airlines Inc.,MYR,17.093548387096774
American Airlines Inc.,OAK,13.707762557077626
American Airlines Inc.,OGG,13.263020833333334
American Airlines Inc.,OKC,19.382284382284382
American Airlines Inc.,OMA,15.472727272727273
American Airlines Inc.,ONT,13.349682107175296
American Airlines Inc.,ORD,19.192839219504886
American Airlines Inc.,ORF,15.359958506224066
American Airlines Inc.,PBI,12.905105105105106
American Airlines Inc.,PDX,14.370805369127517
American Airlines Inc.,PHL,23.29061220692222
American Airlines Inc.,PHX,17.743140378828112
American Airlines Inc.,PIT,16.039049919484704
American Airlines Inc.,PNS,13.650485436893204
American Airlines Inc.,PSP,14.82983682983683
American Airlines Inc.,PVD,15.161343161343162
American Airlines Inc.,PWM,14.848148148148148
American Airlines Inc.,RDU,18.513087674714104
American Airlines Inc.,RIC,17.84069400630915
American Airlines Inc.,RNO,14.049261083743842
American Airlines Inc.,RSW,13.178848283499446
American Airlines Inc.,SAN,20.339853300733495
American Airlines Inc.,SAT,14.8
American Airlines Inc.,SAV,14.420774647887324
American Airlines Inc.,SBA,13.052631578947368
American Airlines Inc.,SEA,21.157486853030722
American Airlines Inc.,SFO,20.598960200788813
American Airlines Inc.,SJC,15.802808302808304
American Airlines Inc.,SJU,17.047210300429185
American Airlines Inc.,SLC,17.43321917808219
American Airlines Inc.,SMF,14.722124927028604
American Airlines Inc.,SNA,16.615021627998427
American Airlines Inc.,SRQ,12.2
