Airline,Dest,mean
"Commutair Aka Champlain Enterprises, Inc.",LEX,5.17741935483871
"Commutair Aka Champlain Enterprises, Inc.",MDT,4.544097693351425
"Commutair Aka Champlain Enterprises, Inc.",MEM,6.046770601336303
"Commutair Aka Champlain Enterprises, Inc.",MHT,6.030188679245283
"Commutair Aka Champlain Enterprises, Inc.",MKE,6.946666666666666
"Commutair Aka Champlain Enterprises, Inc.",ORF,5.271889400921659
"Commutair Aka Champlain Enterprises, Inc.",PHL,9.866666666666667
"Commutair Aka Champlain Enterprises, Inc.",PQI,6.223367697594502
"Commutair Aka Champlain Enterprises, Inc.",PVD,4.79476861167002
"Commutair Aka Champlain Enterprises, Inc.",PWM,4.400547445255475
"Commutair Aka Champlain Enterprises, Inc.",RIC,7.786536758193091
"Commutair Aka Champlain Enterprises, Inc.",ROA,9.305309734513274
"Commutair Aka Champlain Enterprises, Inc.",ROC,7.296442687747035
"Commutair Aka Champlain Enterprises, Inc.",SAV,5.595555555555555
"Commutair Aka Champlain Enterprises, Inc.",SBN,6.357142857142857
"Commutair Aka Champlain Enterprises, Inc.",SCE,4.406593406593407
"Commutair Aka Champlain Enterprises, Inc.",SDF,9.595419847328245
"Commutair Aka Champlain Enterprises, Inc.",STL,5.787301587301587
"Commutair Aka Champlain Enterprises, Inc.",SYR,6.429584599797366
"Commutair Aka Champlain Enterprises, Inc.",TYS,4.294478527607362
